match_id,league_id,season,match_date,home_team_id,away_team_id,home_score,away_score,stadium,match_status,attendance
1,1,2021-2022,2021-12-03,7,4,0,2,Stadium 1-7,Completed,60275
2,1,2022-2023,2021-02-04,1,2,3,4,Stadium 1-1,Completed,47302
3,1,2020-2021,2023-05-25,4,1,3,0,Stadium 1-4,Completed,78572
4,1,2023-2024,2023-10-19,3,5,4,4,Stadium 1-3,Completed,17946
5,1,2022-2023,2023-01-13,4,7,4,2,Stadium 1-4,Completed,49425
6,1,2022-2023,2020-10-18,8,7,1,0,Stadium 1-8,Completed,11212
7,1,2020-2021,2024-03-03,3,4,2,5,Stadium 1-3,Completed,66718
8,1,2022-2023,2023-02-28,1,3,0,1,Stadium 1-1,Completed,50245
9,1,2023-2024,2020-08-17,8,1,4,3,Stadium 1-8,Scheduled,38953
10,1,2021-2022,2020-08-01,7,2,1,2,Stadium 1-7,Scheduled,24134
11,1,2023-2024,2020-12-11,1,7,0,1,Stadium 1-1,Completed,20236
12,1,2020-2021,2023-12-13,7,3,5,3,Stadium 1-7,Scheduled,60038
13,1,2023-2024,2022-05-22,1,7,1,5,Stadium 1-1,Scheduled,61737
14,1,2021-2022,2023-08-11,5,2,1,0,Stadium 1-5,Scheduled,54420
15,1,2020-2021,2023-05-01,3,8,1,2,Stadium 1-3,Completed,13466
16,1,2021-2022,2022-07-31,8,3,1,0,Stadium 1-8,Completed,13177
17,1,2021-2022,2023-05-16,1,5,1,3,Stadium 1-1,Completed,14870
18,1,2021-2022,2022-05-22,2,4,0,5,Stadium 1-2,Completed,39343
19,1,2021-2022,2023-02-19,3,4,3,3,Stadium 1-3,Completed,24256
20,1,2020-2021,2023-05-23,6,4,5,1,Stadium 1-6,Scheduled,42884
21,1,2021-2022,2023-04-16,7,6,0,3,Stadium 1-7,Completed,18951
22,1,2020-2021,2023-06-18,1,6,0,2,Stadium 1-1,Completed,49008
23,1,2021-2022,2023-09-29,1,8,0,3,Stadium 1-1,Scheduled,58543
24,1,2022-2023,2022-10-22,3,6,4,0,Stadium 1-3,Completed,72574
25,1,2021-2022,2022-09-12,5,6,2,5,Stadium 1-5,Completed,76117
26,1,2023-2024,2021-01-11,2,6,3,5,Stadium 1-2,Completed,58432
27,1,2022-2023,2023-10-17,7,5,2,4,Stadium 1-7,Completed,48849
28,1,2020-2021,2021-01-07,1,6,0,3,Stadium 1-1,Completed,48770
29,1,2020-2021,2021-07-04,8,7,3,4,Stadium 1-8,Completed,33803
30,1,2021-2022,2021-03-23,6,4,4,0,Stadium 1-6,Completed,7721
31,1,2021-2022,2023-04-10,5,4,1,1,Stadium 1-5,Completed,70104
32,1,2021-2022,2022-04-07,8,5,0,0,Stadium 1-8,Completed,39208
33,1,2021-2022,2021-08-17,4,6,5,5,Stadium 1-4,Completed,59358
34,1,2023-2024,2023-01-22,3,7,5,5,Stadium 1-3,Scheduled,48393
35,1,2020-2021,2022-09-02,6,7,1,0,Stadium 1-6,Completed,42586
36,1,2022-2023,2020-09-24,7,2,5,2,Stadium 1-7,Completed,79859
37,1,2020-2021,2022-08-25,8,5,1,3,Stadium 1-8,Scheduled,23457
38,1,2021-2022,2023-05-11,5,4,3,3,Stadium 1-5,Scheduled,6385
39,1,2020-2021,2020-12-01,4,1,0,1,Stadium 1-4,Completed,73249
40,1,2020-2021,2023-08-21,2,4,5,2,Stadium 1-2,Completed,70644
41,1,2020-2021,2022-12-06,4,6,2,1,Stadium 1-4,Scheduled,63319
42,1,2021-2022,2022-04-14,3,1,0,4,Stadium 1-3,Completed,56244
43,1,2020-2021,2022-01-19,1,5,1,2,Stadium 1-1,Completed,69650
44,1,2022-2023,2024-04-30,1,4,2,5,Stadium 1-1,Completed,54156
45,1,2021-2022,2024-04-06,5,6,2,5,Stadium 1-5,Completed,63610
46,1,2020-2021,2021-06-15,2,1,3,0,Stadium 1-2,Scheduled,13353
47,1,2022-2023,2021-05-07,2,5,4,4,Stadium 1-2,Completed,20861
48,1,2021-2022,2024-03-04,3,2,0,2,Stadium 1-3,Completed,41274
49,1,2023-2024,2022-04-14,2,6,3,4,Stadium 1-2,Completed,22454
50,1,2021-2022,2023-11-01,2,6,2,2,Stadium 1-2,Completed,17202
51,1,2023-2024,2022-02-17,8,4,0,0,Stadium 1-8,Completed,13135
52,1,2022-2023,2023-10-08,4,3,3,2,Stadium 1-4,Completed,68622
53,1,2020-2021,2020-09-10,5,3,0,4,Stadium 1-5,Completed,5597
54,1,2022-2023,2021-09-06,2,6,3,5,Stadium 1-2,Completed,59234
55,1,2021-2022,2022-06-16,7,8,3,0,Stadium 1-7,Completed,8566
56,1,2020-2021,2022-09-19,6,3,2,0,Stadium 1-6,Completed,21869
57,1,2023-2024,2021-10-04,8,1,4,0,Stadium 1-8,Scheduled,50981
58,1,2022-2023,2020-09-30,8,3,4,1,Stadium 1-8,Completed,42520
59,1,2022-2023,2022-04-02,2,6,4,3,Stadium 1-2,Completed,69216
60,1,2022-2023,2024-01-23,6,4,2,0,Stadium 1-6,Completed,51512
61,1,2020-2021,2022-07-01,1,5,2,2,Stadium 1-1,Completed,30520
62,1,2023-2024,2022-11-15,7,2,1,0,Stadium 1-7,Scheduled,12561
